model,provider,tool,honored,dropped,invalid,rejected,error,served_n,honored_of_served
qwen3-4b,nscale,get-enum-selections,0,0,0,20,0,20,0.0
qwen3-4b,nscale,lookup-record,0,0,0,20,0,20,0.0
qwen3-4b,nscale,create-payment,0,0,0,20,0,20,0.0
qwen3-4b,nscale,create-shipment,0,0,0,20,0,20,0.0
qwen3-4b,nscale,register-address,0,0,0,20,0,20,0.0
qwen3-4b,nscale,plot-point,0,0,0,20,0,20,0.0
qwen3-8b,nscale,get-enum-selections,0,0,0,20,0,20,0.0
qwen3-8b,nscale,lookup-record,0,0,0,20,0,20,0.0
qwen3-8b,nscale,create-payment,0,0,0,20,0,20,0.0
qwen3-8b,nscale,create-shipment,0,0,0,20,0,20,0.0
qwen3-8b,nscale,register-address,0,0,0,20,0,20,0.0
qwen3-8b,nscale,plot-point,0,0,0,20,0,20,0.0
qwen3-14b,deepinfra,get-enum-selections,20,0,0,0,0,20,1.0
qwen3-14b,deepinfra,lookup-record,20,0,0,0,0,20,1.0
qwen3-14b,deepinfra,create-payment,20,0,0,0,0,20,1.0
qwen3-14b,deepinfra,create-shipment,20,0,0,0,0,20,1.0
qwen3-14b,deepinfra,register-address,20,0,0,0,0,20,1.0
qwen3-14b,deepinfra,plot-point,20,0,0,0,0,20,1.0
qwen3.5-9b,deepinfra,get-enum-selections,20,0,0,0,0,20,1.0
qwen3.5-9b,deepinfra,lookup-record,3,0,17,0,0,20,0.15
qwen3.5-9b,deepinfra,create-payment,20,0,0,0,0,20,1.0
qwen3.5-9b,deepinfra,create-shipment,20,0,0,0,0,20,1.0
qwen3.5-9b,deepinfra,register-address,20,0,0,0,0,20,1.0
qwen3.5-9b,deepinfra,plot-point,20,0,0,0,0,20,1.0
qwen3-32b,deepinfra,get-enum-selections,20,0,0,0,0,20,1.0
qwen3-32b,deepinfra,lookup-record,20,0,0,0,0,20,1.0
qwen3-32b,deepinfra,create-payment,20,0,0,0,0,20,1.0
qwen3-32b,deepinfra,create-shipment,20,0,0,0,0,20,1.0
qwen3-32b,deepinfra,register-address,20,0,0,0,0,20,1.0
qwen3-32b,deepinfra,plot-point,20,0,0,0,0,20,1.0
