model,model_label,tool,demonstrates,transport,schema_role,strict,trials,accepted,honored,dropped,invalid,rejected,error,honored_rate,honored_ci_lo,honored_ci_hi,served_n,accepted_pct,honored_given_accepted,honored_of_served,hos_ci_lo,hos_ci_hi,underpowered
claude-fable-5,claude-fable-5,create-payment,nested oneOf + const + pattern,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-haiku-4-5,claude-haiku-4.5,create-payment,nested oneOf + const + pattern,direct,input,,20,20,0,0,20,0,0,0.0,0.0,0.1611,20,1.0,0.0,0.0,0.0,0.1611,False
claude-opus-4-8,claude-opus-4.8,create-payment,nested oneOf + const + pattern,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-sonnet-5,claude-sonnet-5,create-payment,nested oneOf + const + pattern,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
deepseek-ai/DeepSeek-V4-Flash,deepseek-v4-flash,create-payment,nested oneOf + const + pattern,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-flash-lite,gemini-3.1-flash-lite,create-payment,nested oneOf + const + pattern,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-pro-preview,gemini-3.1-pro,create-payment,nested oneOf + const + pattern,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.5-flash,gemini-3.5-flash,create-payment,nested oneOf + const + pattern,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
google/gemma-4-31B-it,gemma-4-31b,create-payment,nested oneOf + const + pattern,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
zai-org/GLM-5.2,glm-5.2,create-payment,nested oneOf + const + pattern,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,create-payment,nested oneOf + const + pattern,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,create-payment,nested oneOf + const + pattern,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4,gpt-5.4,create-payment,nested oneOf + const + pattern,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,create-payment,nested oneOf + const + pattern,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,create-payment,nested oneOf + const + pattern,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4-mini,gpt-5.4-mini,create-payment,nested oneOf + const + pattern,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,create-payment,nested oneOf + const + pattern,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
