model_label,hub_id,provider,tool,demonstrates,trials,served_n,honored,dropped,invalid,rejected,error,honored_of_served
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,deepinfra,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,fireworks-ai,create-payment,nested oneOf + const + pattern,20,20,0,0,20,0,0,0.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,novita,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,deepinfra,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,fireworks-ai,create-shipment,$ref + $defs,20,20,0,0,20,0,0,0.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,novita,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,deepinfra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,fireworks-ai,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,novita,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,deepinfra,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,fireworks-ai,lookup-record,top-level oneOf,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,novita,lookup-record,top-level oneOf,20,20,19,0,1,0,0,0.95
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,deepinfra,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,fireworks-ai,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,novita,plot-point,prefixItems,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,deepinfra,register-address,if / then,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,fireworks-ai,register-address,if / then,20,20,20,0,0,0,0,1.0
deepseek-v4-flash,deepseek-ai/DeepSeek-V4-Flash,novita,register-address,if / then,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,deepinfra,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,fireworks-ai,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,scaleway,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,together,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,zai-org,create-payment,nested oneOf + const + pattern,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,deepinfra,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,fireworks-ai,create-shipment,$ref + $defs,20,20,0,0,0,20,0,0.0
glm-5.2,zai-org/GLM-5.2,scaleway,create-shipment,$ref + $defs,20,20,0,0,20,0,0,0.0
glm-5.2,zai-org/GLM-5.2,together,create-shipment,$ref + $defs,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,zai-org,create-shipment,$ref + $defs,20,20,0,0,20,0,0,0.0
glm-5.2,zai-org/GLM-5.2,deepinfra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,fireworks-ai,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,scaleway,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,20,0,0,0,0,1.0
glm-5.2,zai-org/GLM-5.2,together,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,20,20,16,4,0,0,0,0.8
