probed_at,model_label,model_id,tool,condition,condition_kind,trial,strict,verdict,note,arguments,error,error_status
2026-07-19T02:05:45.725185+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_nonstrict,verbatim-nonstrict,0,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:05:49.177640+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_nonstrict,verbatim-nonstrict,1,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:05:52.245407+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_nonstrict,verbatim-nonstrict,2,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:05:54.941938+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_nonstrict,verbatim-nonstrict,3,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:05:57.666317+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_nonstrict,verbatim-nonstrict,4,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:01.340281+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_nonstrict,verbatim-nonstrict,5,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:03.949314+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_nonstrict,verbatim-nonstrict,6,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:06.537449+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_nonstrict,verbatim-nonstrict,7,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:09.174202+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_nonstrict,verbatim-nonstrict,8,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
2026-07-19T02:06:12.195423+00:00,claude-sonnet-5,claude-sonnet-5,get-enum-selections,verbatim_nonstrict,verbatim-nonstrict,9,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",,
