model_label,tool,demonstrates,render_feature,input_honored_of_served,input_modal,input_transport,render_survival,render_cell
claude-fable-5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
claude-fable-5,lookup-record,top-level oneOf,oneOf,0.0,rejected,direct,,-
claude-fable-5,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
claude-fable-5,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
claude-fable-5,register-address,if / then,(untracked),1.0,honored,direct,,n/t
claude-fable-5,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
claude-haiku-4.5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
claude-haiku-4.5,lookup-record,top-level oneOf,oneOf,0.0,rejected,direct,,-
claude-haiku-4.5,create-payment,nested oneOf + const + pattern,oneOf,0.0,invalid,direct,,-
claude-haiku-4.5,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
claude-haiku-4.5,register-address,if / then,(untracked),1.0,honored,direct,,n/t
claude-haiku-4.5,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
claude-opus-4.8,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
claude-opus-4.8,lookup-record,top-level oneOf,oneOf,0.0,rejected,direct,,-
claude-opus-4.8,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
claude-opus-4.8,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
claude-opus-4.8,register-address,if / then,(untracked),1.0,honored,direct,,n/t
claude-opus-4.8,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
claude-sonnet-5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
claude-sonnet-5,lookup-record,top-level oneOf,oneOf,0.0,rejected,direct,,-
claude-sonnet-5,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
claude-sonnet-5,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
claude-sonnet-5,register-address,if / then,(untracked),1.0,honored,direct,,n/t
claude-sonnet-5,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
deepseek-v4-flash,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,huggingface,,-
deepseek-v4-flash,lookup-record,top-level oneOf,oneOf,1.0,honored,huggingface,,-
deepseek-v4-flash,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,huggingface,,-
deepseek-v4-flash,create-shipment,$ref + $defs,ref,1.0,honored,huggingface,,-
deepseek-v4-flash,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
deepseek-v4-flash,plot-point,prefixItems,(untracked),1.0,honored,huggingface,,n/t
gemini-3.1-flash-lite,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,0.0,invalid,direct,,-
gemini-3.1-flash-lite,lookup-record,top-level oneOf,oneOf,1.0,honored,direct,,-
gemini-3.1-flash-lite,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
gemini-3.1-flash-lite,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
gemini-3.1-flash-lite,register-address,if / then,(untracked),1.0,honored,direct,,n/t
gemini-3.1-flash-lite,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
gemini-3.1-pro,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,0.0,invalid,direct,,-
gemini-3.1-pro,lookup-record,top-level oneOf,oneOf,1.0,honored,direct,,-
gemini-3.1-pro,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
gemini-3.1-pro,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
gemini-3.1-pro,register-address,if / then,(untracked),1.0,honored,direct,,n/t
gemini-3.1-pro,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
gemini-3.5-flash,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,direct,,-
gemini-3.5-flash,lookup-record,top-level oneOf,oneOf,1.0,honored,direct,,-
gemini-3.5-flash,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,direct,,-
gemini-3.5-flash,create-shipment,$ref + $defs,ref,1.0,honored,direct,,-
gemini-3.5-flash,register-address,if / then,(untracked),1.0,honored,direct,,n/t
gemini-3.5-flash,plot-point,prefixItems,(untracked),1.0,honored,direct,,n/t
gemma-4-31b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,0.95,honored,huggingface,0.5,3/6
gemma-4-31b,lookup-record,top-level oneOf,oneOf,0.65,honored,huggingface,0.0,0/2
gemma-4-31b,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,huggingface,0.0,0/2
gemma-4-31b,create-shipment,$ref + $defs,ref,1.0,honored,huggingface,0.0,0/4
gemma-4-31b,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
gemma-4-31b,plot-point,prefixItems,(untracked),1.0,honored,huggingface,,n/t
glm-5.2,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,enum,1.0,honored,huggingface,,-
glm-5.2,lookup-record,top-level oneOf,oneOf,1.0,honored,huggingface,,-
glm-5.2,create-payment,nested oneOf + const + pattern,oneOf,1.0,honored,huggingface,,-
glm-5.2,create-shipment,$ref + $defs,ref,1.0,honored,huggingface,,-
glm-5.2,register-address,if / then,(untracked),1.0,honored,huggingface,,n/t
glm-5.2,plot-point,prefixItems,(untracked),1.0,honored,huggingface,,n/t
