probed_at,model_label,model_id,tool,condition,condition_kind,trial,strict,reasoning_effort,verdict,note,arguments,error,error_status
2026-07-18T21:42:14.748740+00:00,gpt-5.5,gpt-5.5,get-enum-selections,verbatim,verbatim,0,True,,rejected,,,"Invalid schema for function 'get-enum-selections': In context=(), 'additionalProperties' is required to be supplied and to be false.",400
2026-07-18T21:42:15.638500+00:00,gpt-5.5,gpt-5.5,get-enum-selections,verbatim,verbatim,1,True,,rejected,,,"Invalid schema for function 'get-enum-selections': In context=(), 'additionalProperties' is required to be supplied and to be false.",400
2026-07-18T21:42:16.461371+00:00,gpt-5.5,gpt-5.5,get-enum-selections,envelope,envelope,0,True,,rejected,,,"Invalid schema for function 'get-enum-selections': In context=('properties', 'titledMultipleSelectEnum', 'items', 'anyOf', '0'), schema must have a 'type' key.",400
2026-07-18T21:42:17.407940+00:00,gpt-5.5,gpt-5.5,get-enum-selections,envelope,envelope,1,True,,rejected,,,"Invalid schema for function 'get-enum-selections': In context=('properties', 'titledMultipleSelectEnum', 'items', 'anyOf', '0'), schema must have a 'type' key.",400
2026-07-18T21:42:19.461961+00:00,gpt-5.5,gpt-5.5,get-enum-selections,anyof_typed_consts,repair-equivalent,0,True,,honored,all 5 supplied selection(s) are enum members,"{""legacyTitledEnum"": ""pet-4"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""titledSingleSelectEnum"": ""hero-3"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""untitledSingleSelectEnum"": ""Chandler""}",,
2026-07-18T21:42:21.687425+00:00,gpt-5.5,gpt-5.5,get-enum-selections,anyof_typed_consts,repair-equivalent,1,True,,honored,all 5 supplied selection(s) are enum members,"{""legacyTitledEnum"": ""pet-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""titledSingleSelectEnum"": ""hero-3"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""untitledSingleSelectEnum"": ""Chandler""}",,
2026-07-18T21:42:23.611739+00:00,gpt-5.5,gpt-5.5,get-enum-selections,anyof_typed_consts,repair-equivalent,2,True,,honored,all 5 supplied selection(s) are enum members,"{""legacyTitledEnum"": ""pet-5"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""titledSingleSelectEnum"": ""hero-3"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""untitledSingleSelectEnum"": ""Chandler""}",,
2026-07-18T21:42:31.522374+00:00,gpt-5.5,gpt-5.5,get-enum-selections,anyof_typed_consts,repair-equivalent,3,True,,honored,all 5 supplied selection(s) are enum members,"{""legacyTitledEnum"": ""pet-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""titledSingleSelectEnum"": ""hero-3"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""untitledSingleSelectEnum"": ""Chandler""}",,
2026-07-18T21:42:33.712478+00:00,gpt-5.5,gpt-5.5,get-enum-selections,anyof_typed_consts,repair-equivalent,4,True,,honored,all 5 supplied selection(s) are enum members,"{""legacyTitledEnum"": ""pet-4"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""titledSingleSelectEnum"": ""hero-3"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""untitledSingleSelectEnum"": ""Chandler""}",,
2026-07-18T21:42:35.571131+00:00,gpt-5.5,gpt-5.5,get-enum-selections,anyof_typed_consts,repair-equivalent,5,True,,honored,all 5 supplied selection(s) are enum members,"{""legacyTitledEnum"": ""pet-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""titledSingleSelectEnum"": ""hero-3"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""untitledSingleSelectEnum"": ""Chandler""}",,
2026-07-18T21:42:37.825862+00:00,gpt-5.5,gpt-5.5,get-enum-selections,anyof_typed_consts,repair-equivalent,6,True,,honored,all 5 supplied selection(s) are enum members,"{""legacyTitledEnum"": ""pet-5"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""titledSingleSelectEnum"": ""hero-3"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""untitledSingleSelectEnum"": ""Chandler""}",,
2026-07-18T21:42:39.918996+00:00,gpt-5.5,gpt-5.5,get-enum-selections,anyof_typed_consts,repair-equivalent,7,True,,honored,all 5 supplied selection(s) are enum members,"{""legacyTitledEnum"": ""pet-4"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""titledSingleSelectEnum"": ""hero-3"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""untitledSingleSelectEnum"": ""Chandler""}",,
2026-07-18T21:42:41.732917+00:00,gpt-5.5,gpt-5.5,get-enum-selections,anyof_typed_consts,repair-equivalent,8,True,,honored,all 5 supplied selection(s) are enum members,"{""legacyTitledEnum"": ""pet-4"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""titledSingleSelectEnum"": ""hero-3"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""untitledSingleSelectEnum"": ""Chandler""}",,
2026-07-18T21:42:43.616419+00:00,gpt-5.5,gpt-5.5,get-enum-selections,anyof_typed_consts,repair-equivalent,9,True,,honored,all 5 supplied selection(s) are enum members,"{""legacyTitledEnum"": ""pet-4"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""titledSingleSelectEnum"": ""hero-3"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""untitledSingleSelectEnum"": ""Chandler""}",,
2026-07-18T21:42:44.612491+00:00,gpt-5.5,gpt-5.5,lookup-record,verbatim,verbatim,0,True,,rejected,,,"Invalid schema for function 'lookup-record': In context=(), 'oneOf' is not permitted.",400
2026-07-18T21:42:45.450343+00:00,gpt-5.5,gpt-5.5,lookup-record,verbatim,verbatim,1,True,,rejected,,,"Invalid schema for function 'lookup-record': In context=(), 'oneOf' is not permitted.",400
2026-07-18T21:42:46.209662+00:00,gpt-5.5,gpt-5.5,lookup-record,envelope,envelope,0,True,,rejected,,,"Invalid schema for function 'lookup-record': In context=(), 'oneOf' is not permitted.",400
2026-07-18T21:42:46.941820+00:00,gpt-5.5,gpt-5.5,lookup-record,envelope,envelope,1,True,,rejected,,,"Invalid schema for function 'lookup-record': In context=(), 'oneOf' is not permitted.",400
2026-07-18T21:42:48.593276+00:00,gpt-5.5,gpt-5.5,lookup-record,nested_union,repair-nested,0,True,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-18T21:42:50.053830+00:00,gpt-5.5,gpt-5.5,lookup-record,nested_union,repair-nested,1,True,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-18T21:42:51.515028+00:00,gpt-5.5,gpt-5.5,lookup-record,nested_union,repair-nested,2,True,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-18T21:42:52.887625+00:00,gpt-5.5,gpt-5.5,lookup-record,nested_union,repair-nested,3,True,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-18T21:42:54.281348+00:00,gpt-5.5,gpt-5.5,lookup-record,nested_union,repair-nested,4,True,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-18T21:42:55.939410+00:00,gpt-5.5,gpt-5.5,lookup-record,nested_union,repair-nested,5,True,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
2026-07-18T21:42:57.251270+00:00,gpt-5.5,gpt-5.5,lookup-record,nested_union,repair-nested,6,True,,honored,exactly one identifier (id),"{""query"": {""id"": ""REC-4417""}}",,
