model_label,tool,demonstrates,arm,served_n,honored,dropped,invalid,rejected,error,uncoached_hos,coached_hos,delta
claude-fable-5,create-payment,nested oneOf + const + pattern,direct,20,20,0,0,0,0,1.0,1.0,0.0
claude-haiku-4.5,create-payment,nested oneOf + const + pattern,direct,20,0,0,20,0,0,0.0,0.0,0.0
claude-sonnet-5,create-payment,nested oneOf + const + pattern,direct,20,20,0,0,0,0,1.0,1.0,0.0
deepseek-v4-flash,create-payment,nested oneOf + const + pattern,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-flash-lite,create-payment,nested oneOf + const + pattern,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-pro,create-payment,nested oneOf + const + pattern,direct,0,0,0,0,0,20,,1.0,
gemini-3.5-flash,create-payment,nested oneOf + const + pattern,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemma-4-31b,create-payment,nested oneOf + const + pattern,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
glm-5.2,create-payment,nested oneOf + const + pattern,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.4,create-payment,nested oneOf + const + pattern,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.4-mini,create-payment,nested oneOf + const + pattern,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.5,create-payment,nested oneOf + const + pattern,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-luna,create-payment,nested oneOf + const + pattern,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-sol,create-payment,nested oneOf + const + pattern,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-terra,create-payment,nested oneOf + const + pattern,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-oss-120b,create-payment,nested oneOf + const + pattern,huggingface (deepinfra),20,19,0,1,0,0,0.95,1.0,-0.05
kimi-k2.6,create-payment,nested oneOf + const + pattern,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
kimi-k2.7-code,create-payment,nested oneOf + const + pattern,huggingface (deepinfra),20,20,0,0,0,0,1.0,0.95,0.05
kimi-k3-hf,create-payment,nested oneOf + const + pattern,huggingface (together),20,20,0,0,0,0,1.0,1.0,0.0
minimax-m3,create-payment,nested oneOf + const + pattern,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
qwen3.5-397b,create-payment,nested oneOf + const + pattern,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
qwen3.6-35b,create-payment,nested oneOf + const + pattern,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
claude-fable-5,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
claude-haiku-4.5,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
claude-sonnet-5,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
deepseek-v4-flash,create-shipment,$ref + $defs,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-flash-lite,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-pro,create-shipment,$ref + $defs,direct,0,0,0,0,0,20,,1.0,
gemini-3.5-flash,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemma-4-31b,create-shipment,$ref + $defs,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
glm-5.2,create-shipment,$ref + $defs,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.4,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.4-mini,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.5,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-luna,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-sol,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-terra,create-shipment,$ref + $defs,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-oss-120b,create-shipment,$ref + $defs,huggingface (deepinfra),20,6,0,14,0,0,0.3,0.65,-0.35
kimi-k2.6,create-shipment,$ref + $defs,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
kimi-k2.7-code,create-shipment,$ref + $defs,huggingface (deepinfra),20,19,0,1,0,0,0.95,0.85,0.1
kimi-k3-hf,create-shipment,$ref + $defs,huggingface (together),19,19,0,0,0,1,1.0,1.0,0.0
minimax-m3,create-shipment,$ref + $defs,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
qwen3.5-397b,create-shipment,$ref + $defs,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
qwen3.6-35b,create-shipment,$ref + $defs,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
claude-fable-5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,20,0,0,0,0,1.0,1.0,0.0
claude-haiku-4.5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,20,0,0,0,0,1.0,1.0,0.0
claude-sonnet-5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,20,0,0,0,0,1.0,1.0,0.0
deepseek-v4-flash,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-flash-lite,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,0,0,20,0,0,0.0,0.0,0.0
gemini-3.1-pro,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,1,0,19,0,0,0.05,0.0,0.05
gemini-3.5-flash,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemma-4-31b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface (deepinfra),20,18,2,0,0,0,0.9,0.95,-0.05
glm-5.2,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.4,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.4-mini,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.5,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-luna,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-sol,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-terra,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-oss-120b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface (deepinfra),20,0,0,20,0,0,0.0,0.0,0.0
kimi-k2.6,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
kimi-k2.7-code,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface (deepinfra),20,19,1,0,0,0,0.95,1.0,-0.05
kimi-k3-hf,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface (together),19,19,0,0,0,1,1.0,1.0,0.0
minimax-m3,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
qwen3.5-397b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface (deepinfra),20,20,0,0,0,0,1.0,0.95,0.05
qwen3.6-35b,get-enum-selections,enum / oneOf / anyOf / const / title / enumNames,huggingface (deepinfra),20,16,4,0,0,0,0.8,0.9,-0.1
claude-fable-5,lookup-record,top-level oneOf,direct,20,0,0,0,20,0,0.0,0.0,0.0
claude-haiku-4.5,lookup-record,top-level oneOf,direct,20,0,0,0,20,0,0.0,0.0,0.0
claude-sonnet-5,lookup-record,top-level oneOf,direct,20,0,0,0,20,0,0.0,0.0,0.0
deepseek-v4-flash,lookup-record,top-level oneOf,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-flash-lite,lookup-record,top-level oneOf,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-pro,lookup-record,top-level oneOf,direct,9,9,0,0,0,11,1.0,1.0,0.0
gemini-3.5-flash,lookup-record,top-level oneOf,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemma-4-31b,lookup-record,top-level oneOf,huggingface (deepinfra),20,0,0,20,0,0,0.0,0.65,-0.65
glm-5.2,lookup-record,top-level oneOf,huggingface (deepinfra),20,18,0,2,0,0,0.9,1.0,-0.1
gpt-5.4,lookup-record,top-level oneOf,direct,20,0,0,0,20,0,0.0,0.0,0.0
gpt-5.4-mini,lookup-record,top-level oneOf,direct,20,0,0,0,20,0,0.0,0.0,0.0
gpt-5.5,lookup-record,top-level oneOf,direct,20,0,0,0,20,0,0.0,0.0,0.0
gpt-5.6-luna,lookup-record,top-level oneOf,direct,20,0,0,0,20,0,0.0,0.0,0.0
gpt-5.6-sol,lookup-record,top-level oneOf,direct,20,0,0,0,20,0,0.0,0.0,0.0
gpt-5.6-terra,lookup-record,top-level oneOf,direct,20,0,0,0,20,0,0.0,0.0,0.0
gpt-oss-120b,lookup-record,top-level oneOf,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
kimi-k2.6,lookup-record,top-level oneOf,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
kimi-k2.7-code,lookup-record,top-level oneOf,huggingface (deepinfra),20,19,0,1,0,0,0.95,1.0,-0.05
kimi-k3-hf,lookup-record,top-level oneOf,huggingface (together),18,18,0,0,0,2,1.0,1.0,0.0
minimax-m3,lookup-record,top-level oneOf,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
qwen3.5-397b,lookup-record,top-level oneOf,huggingface (deepinfra),15,0,0,15,0,5,0.0,0.0,0.0
qwen3.6-35b,lookup-record,top-level oneOf,huggingface (deepinfra),20,0,0,20,0,0,0.0,0.0,0.0
claude-fable-5,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
claude-haiku-4.5,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
claude-sonnet-5,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
deepseek-v4-flash,plot-point,prefixItems,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-flash-lite,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-pro,plot-point,prefixItems,direct,0,0,0,0,0,20,,1.0,
gemini-3.5-flash,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemma-4-31b,plot-point,prefixItems,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
glm-5.2,plot-point,prefixItems,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.4,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.4-mini,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.5,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-luna,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-sol,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-terra,plot-point,prefixItems,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-oss-120b,plot-point,prefixItems,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
kimi-k2.6,plot-point,prefixItems,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
kimi-k2.7-code,plot-point,prefixItems,huggingface (deepinfra),20,20,0,0,0,0,1.0,0.8,0.2
kimi-k3-hf,plot-point,prefixItems,huggingface (together),19,19,0,0,0,1,1.0,1.0,0.0
minimax-m3,plot-point,prefixItems,huggingface (deepinfra),20,0,0,20,0,0,0.0,0.0,0.0
qwen3.5-397b,plot-point,prefixItems,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
qwen3.6-35b,plot-point,prefixItems,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
claude-fable-5,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
claude-haiku-4.5,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
claude-sonnet-5,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
deepseek-v4-flash,register-address,if / then,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-flash-lite,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemini-3.1-pro,register-address,if / then,direct,0,0,0,0,0,20,,1.0,
gemini-3.5-flash,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
gemma-4-31b,register-address,if / then,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
glm-5.2,register-address,if / then,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.4,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.4-mini,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.5,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-luna,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-sol,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-5.6-terra,register-address,if / then,direct,20,20,0,0,0,0,1.0,1.0,0.0
gpt-oss-120b,register-address,if / then,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
kimi-k2.6,register-address,if / then,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
kimi-k2.7-code,register-address,if / then,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
kimi-k3-hf,register-address,if / then,huggingface (together),20,20,0,0,0,0,1.0,1.0,0.0
minimax-m3,register-address,if / then,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
qwen3.5-397b,register-address,if / then,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
qwen3.6-35b,register-address,if / then,huggingface (deepinfra),20,20,0,0,0,0,1.0,1.0,0.0
