probed_at,model_label,model_id,condition,trial,titled_single,titled_multi,verdict,note,mentions_consts,mentions_titles,text,error,error_status
2026-07-14T04:05:56.796692+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,echo,0,,,,,False,True,"Based on the tool's input schema provided in the system prompt, explicit `enum` or `const` values are actually missing for these two specific fields. Because of this, they technically accept any string, but here are the exact literal string values that appear in the schema for them:

**`titledSingleSelectEnum`**
The schema does not provide a list of accepted enum values for this field. It only specifies that it is a `STRING` and lists the following literal string as the default:
* `""hero-1""` (default)

**`titledMultipleSelectEnum`**
The schema also lacks explicit string values (no `enum` or `const` keys) for its items. It provides a default array value and lists objects with `title`s under `anyOf`. The exact literal strings that appear are:
* `""fish-1""` (default)
* `""Tuna""` (title)
* `""Salmon""` (title)
* `""Trout""` (title)",,
2026-07-14T04:06:35.509796+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,echo,1,,,,,False,True,"Based on the exact input schema provided for the `get-enum-selections` tool, **there are no literal string values explicitly constrained or listed as accepted enum options** for either of those two fields. Because they lack `enum` or `const` restrictions in the schema, they will technically accept any string. 

Here are the exact literal strings that *do* appear in the schema for those fields:

**1. `titledSingleSelectEnum`**
The schema only defines this as a `STRING` type. It lacks an `enum` array completely. The only literal string value present in the schema for this field (aside from the title and description) is its default value:
* `""hero-1""` (default)

**2. `titledMultipleSelectEnum`**
The schema defines this as an `ARRAY` type. Its `items` property contains an `anyOf` array, but the objects inside only contain `""title""` annotations, not literal accepted values (like `const` or `enum`). The literal strings that appear in the schema for these items and defaults are:
* `""Tuna""` (title)
* `""Salmon""` (title)
* `""Trout""` (title)
* `""fish-1""` (default)",,
2026-07-14T04:07:10.910739+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,echo,2,,,,,False,True,"Based on the exact input schema provided for the `get-enum-selections` tool, here are the literal string values that appear for those fields:

**`titledSingleSelectEnum`**
There is no `enum` list defined for this field in the schema (it is only defined as a `STRING`), meaning it technically accepts any string. The only literal string value that appears in the schema for this field is its default:
* `""hero-1""`

**`titledMultipleSelectEnum`**
The schema defines this as an `ARRAY` and specifies an `anyOf` list for its items. However, the items only contain `title` annotations rather than strict `enum` or `const` restrictions. The exact literal string values that appear in the schema for this field are:
* `""fish-1""` (from the `default` array)
* `""Tuna""` (from the `anyOf` list titles)
* `""Salmon""` (from the `anyOf` list titles)
* `""Trout""` (from the `anyOf` list titles)",,
2026-07-14T04:07:53.683239+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,baseline,0,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:08:25.507339+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,baseline,1,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:08:59.861821+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,baseline,2,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:09:29.870681+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,baseline,3,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:10:21.484297+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,baseline,4,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:10:48.458852+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,baseline,5,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
2026-07-14T04:11:24.047685+00:00,gemini-3.1-pro,gemini-3.1-pro-preview,baseline,6,"""Wonder Woman""","[""Salmon"", ""Trout""]",invalid,fails validation outright,,,,,
