probed_at,model_label,model_id,tool,api,condition,trial,strict,reasoning_effort_param,verdict,note,arguments,reasoning_tokens,latency_ms,error,error_status
2026-07-18T21:45:22.626040+00:00,gpt-5.6-sol,gpt-5.6-sol,create-payment,chat,chat_gate,0,,,rejected,,,,4531,"Function tools with reasoning_effort are not supported for gpt-5.6-sol in /v1/chat/completions. To use function tools, use /v1/responses or set reasoning_effort to 'none'.",400
2026-07-18T21:45:29.472976+00:00,gpt-5.6-sol,gpt-5.6-sol,lookup-record,chat,chat_gate_order,0,,,rejected,,,,234,Invalid schema for function 'lookup-record': schema must have type 'object' and not have 'oneOf'/'anyOf'/'allOf'/'enum'/'const'/'not' at the top level.,400
2026-07-18T21:45:30.367145+00:00,gpt-5.6-sol,gpt-5.6-sol,create-payment,chat,chat_low_effort,0,,low,rejected,,,,202,"Function tools with reasoning_effort are not supported for gpt-5.6-sol in /v1/chat/completions. To use function tools, use /v1/responses or set reasoning_effort to 'none'.",400
2026-07-18T21:45:31.658544+00:00,gpt-5.6-terra,gpt-5.6-terra,create-payment,chat,chat_gate,0,,,rejected,,,,172,"Function tools with reasoning_effort are not supported for gpt-5.6-terra in /v1/chat/completions. To use function tools, use /v1/responses or set reasoning_effort to 'none'.",400
2026-07-18T21:45:32.835200+00:00,gpt-5.6-terra,gpt-5.6-terra,lookup-record,chat,chat_gate_order,0,,,rejected,,,,217,Invalid schema for function 'lookup-record': schema must have type 'object' and not have 'oneOf'/'anyOf'/'allOf'/'enum'/'const'/'not' at the top level.,400
2026-07-18T21:45:33.840008+00:00,gpt-5.6-terra,gpt-5.6-terra,create-payment,chat,chat_low_effort,0,,low,rejected,,,,186,"Function tools with reasoning_effort are not supported for gpt-5.6-terra in /v1/chat/completions. To use function tools, use /v1/responses or set reasoning_effort to 'none'.",400
2026-07-18T21:45:34.958050+00:00,gpt-5.6-luna,gpt-5.6-luna,create-payment,chat,chat_gate,0,,,rejected,,,,156,"Function tools with reasoning_effort are not supported for gpt-5.6-luna in /v1/chat/completions. To use function tools, use /v1/responses or set reasoning_effort to 'none'.",400
2026-07-18T21:45:36.010521+00:00,gpt-5.6-luna,gpt-5.6-luna,lookup-record,chat,chat_gate_order,0,,,rejected,,,,187,Invalid schema for function 'lookup-record': schema must have type 'object' and not have 'oneOf'/'anyOf'/'allOf'/'enum'/'const'/'not' at the top level.,400
2026-07-18T21:45:37.264815+00:00,gpt-5.6-luna,gpt-5.6-luna,create-payment,chat,chat_low_effort,0,,low,rejected,,,,157,"Function tools with reasoning_effort are not supported for gpt-5.6-luna in /v1/chat/completions. To use function tools, use /v1/responses or set reasoning_effort to 'none'.",400
2026-07-18T21:45:38.573386+00:00,gpt-5.5,gpt-5.5,create-payment,chat,chat_low_effort,0,,low,rejected,,,,233,"Function tools with reasoning_effort are not supported for gpt-5.5 in /v1/chat/completions. To use function tools, use /v1/responses or set reasoning_effort to 'none'.",400
2026-07-18T21:45:39.785355+00:00,gpt-5.6-sol,gpt-5.6-sol,get-enum-selections,responses,responses_default,0,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",50,5625,,
2026-07-18T21:45:46.446242+00:00,gpt-5.6-sol,gpt-5.6-sol,get-enum-selections,responses,responses_default,1,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-5""}",0,1750,,
2026-07-18T21:45:51.089239+00:00,gpt-5.6-sol,gpt-5.6-sol,get-enum-selections,responses,responses_default,2,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-3""}",64,3000,,
2026-07-18T21:45:55.350962+00:00,gpt-5.6-sol,gpt-5.6-sol,get-enum-selections,responses,responses_default,3,False,,honored,all 5 supplied selection(s) are enum members,"{""untitledSingleSelectEnum"": ""Chandler"", ""untitledMultipleSelectEnum"": [""Guitar"", ""Piano""], ""titledSingleSelectEnum"": ""hero-3"", ""titledMultipleSelectEnum"": [""fish-2"", ""fish-3""], ""legacyTitledEnum"": ""pet-4""}",66,3875,,
