model_label,tool,demonstrates,variant,phrasing,arm,served_n,honored,dropped,invalid,rejected,error,copied_n,v2_hos,coached_hos,delta
claude-haiku-4.5,charge-cents,integer minor-units,cents,0,direct,20,20,0,0,0,0,0,1.0,,
claude-haiku-4.5,charge-cents,integer minor-units,cents,1,direct,20,20,0,0,0,0,0,1.0,,
claude-sonnet-5,charge-cents,integer minor-units,cents,0,direct,20,20,0,0,0,0,0,1.0,,
claude-sonnet-5,charge-cents,integer minor-units,cents,1,direct,20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,charge-cents,integer minor-units,cents,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,charge-cents,integer minor-units,cents,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,charge-cents,integer minor-units,cents,0,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,charge-cents,integer minor-units,cents,1,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-pro,charge-cents,integer minor-units,cents,0,direct,0,0,0,0,0,20,0,,,
gemini-3.1-pro,charge-cents,integer minor-units,cents,1,direct,0,0,0,0,0,20,0,,,
gemma-4-31b,charge-cents,integer minor-units,cents,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemma-4-31b,charge-cents,integer minor-units,cents,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,charge-cents,integer minor-units,cents,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,charge-cents,integer minor-units,cents,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,charge-cents,integer minor-units,cents,0,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,charge-cents,integer minor-units,cents,1,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.5,charge-cents,integer minor-units,cents,0,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.5,charge-cents,integer minor-units,cents,1,direct,20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,charge-cents,integer minor-units,cents,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,charge-cents,integer minor-units,cents,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,charge-cents,integer minor-units,cents,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,charge-cents,integer minor-units,cents,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.7-code,charge-cents,integer minor-units,cents,0,huggingface (deepinfra),20,19,0,1,0,0,0,0.95,,
kimi-k2.7-code,charge-cents,integer minor-units,cents,1,huggingface (deepinfra),20,19,0,1,0,0,0,0.95,,
minimax-m3,charge-cents,integer minor-units,cents,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
minimax-m3,charge-cents,integer minor-units,cents,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,charge-cents,integer minor-units,cents,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,charge-cents,integer minor-units,cents,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.6-35b,charge-cents,integer minor-units,cents,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.6-35b,charge-cents,integer minor-units,cents,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
claude-haiku-4.5,create-payment,nested oneOf + const + pattern,card-plastic-const,0,direct,20,0,0,20,0,0,0,0.0,,
claude-haiku-4.5,create-payment,nested oneOf + const + pattern,card-plastic-const,1,direct,20,0,0,20,0,0,0,0.0,,
claude-sonnet-5,create-payment,nested oneOf + const + pattern,card-plastic-const,0,direct,20,20,0,0,0,0,0,1.0,,
claude-sonnet-5,create-payment,nested oneOf + const + pattern,card-plastic-const,1,direct,20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,create-payment,nested oneOf + const + pattern,card-plastic-const,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,create-payment,nested oneOf + const + pattern,card-plastic-const,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,create-payment,nested oneOf + const + pattern,card-plastic-const,0,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,create-payment,nested oneOf + const + pattern,card-plastic-const,1,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-pro,create-payment,nested oneOf + const + pattern,card-plastic-const,0,direct,0,0,0,0,0,20,0,,,
gemini-3.1-pro,create-payment,nested oneOf + const + pattern,card-plastic-const,1,direct,1,1,0,0,0,19,0,1.0,,
gemma-4-31b,create-payment,nested oneOf + const + pattern,card-plastic-const,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemma-4-31b,create-payment,nested oneOf + const + pattern,card-plastic-const,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,create-payment,nested oneOf + const + pattern,card-plastic-const,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,create-payment,nested oneOf + const + pattern,card-plastic-const,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,create-payment,nested oneOf + const + pattern,card-plastic-const,0,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,create-payment,nested oneOf + const + pattern,card-plastic-const,1,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.5,create-payment,nested oneOf + const + pattern,card-plastic-const,0,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.5,create-payment,nested oneOf + const + pattern,card-plastic-const,1,direct,20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,create-payment,nested oneOf + const + pattern,card-plastic-const,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,create-payment,nested oneOf + const + pattern,card-plastic-const,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,create-payment,nested oneOf + const + pattern,card-plastic-const,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,create-payment,nested oneOf + const + pattern,card-plastic-const,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.7-code,create-payment,nested oneOf + const + pattern,card-plastic-const,0,huggingface (deepinfra),20,19,0,1,0,0,0,0.95,,
kimi-k2.7-code,create-payment,nested oneOf + const + pattern,card-plastic-const,1,huggingface (deepinfra),20,19,0,1,0,0,0,0.95,,
minimax-m3,create-payment,nested oneOf + const + pattern,card-plastic-const,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
minimax-m3,create-payment,nested oneOf + const + pattern,card-plastic-const,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,create-payment,nested oneOf + const + pattern,card-plastic-const,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,create-payment,nested oneOf + const + pattern,card-plastic-const,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.6-35b,create-payment,nested oneOf + const + pattern,card-plastic-const,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.6-35b,create-payment,nested oneOf + const + pattern,card-plastic-const,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
claude-haiku-4.5,create-payment,nested oneOf + const + pattern,card-spaced,0,direct,20,0,0,20,0,0,0,0.0,0.0,0.0
claude-haiku-4.5,create-payment,nested oneOf + const + pattern,card-spaced,1,direct,20,0,0,20,0,0,0,0.0,0.0,0.0
claude-sonnet-5,create-payment,nested oneOf + const + pattern,card-spaced,0,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
claude-sonnet-5,create-payment,nested oneOf + const + pattern,card-spaced,1,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
deepseek-v4-flash,create-payment,nested oneOf + const + pattern,card-spaced,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
deepseek-v4-flash,create-payment,nested oneOf + const + pattern,card-spaced,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
gemini-3.1-flash-lite,create-payment,nested oneOf + const + pattern,card-spaced,0,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
gemini-3.1-flash-lite,create-payment,nested oneOf + const + pattern,card-spaced,1,direct,20,20,0,0,0,0,0,1.0,1.0,0.0
gemini-3.1-pro,create-payment,nested oneOf + const + pattern,card-spaced,0,direct,0,0,0,0,0,20,0,,1.0,
gemini-3.1-pro,create-payment,nested oneOf + const + pattern,card-spaced,1,direct,0,0,0,0,0,20,0,,1.0,
gemma-4-31b,create-payment,nested oneOf + const + pattern,card-spaced,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
