model_label,provider,tool,variant,served_n,honored,dropped,invalid,rejected,error,copied_n,hos,example_args
deepseek-v4-flash,deepinfra,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
deepseek-v4-flash,fireworks-ai,create-payment,card-spaced,20,0,0,20,0,0,0,0.0,"{""amount"": 42.5, ""method"": ""{\""kind\"":\""card\"",\""cardNumber\"":\""4111111111111111\""}""}"
deepseek-v4-flash,novita,create-payment,card-spaced,20,12,0,8,0,0,0,0.6,"{""__parse_error__"": ""Expecting value: line 3 column 1 (char 2)"", ""__raw__"": ""\n\n<\uff5cDSML\uff5ctool_calls>\n<\uff5cDSML\uff5cinvoke name=\""create-payment\"">\"
gemma-4-31b,deepinfra,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
gemma-4-31b,novita,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
gemma-4-31b,together,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
glm-5.2,deepinfra,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
glm-5.2,fireworks-ai,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
glm-5.2,novita,create-payment,card-spaced,0,0,0,0,0,20,0,,
glm-5.2,scaleway,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
glm-5.2,together,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
qwen3.5-397b,deepinfra,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
qwen3.5-397b,novita,create-payment,card-spaced,20,0,0,0,20,0,0,0.0,
qwen3.5-397b,scaleway,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
qwen3.6-35b,deepinfra,create-payment,card-spaced,7,7,0,0,0,13,0,1.0,
qwen3.6-35b,scaleway,create-payment,card-spaced,20,20,0,0,0,0,0,1.0,
deepseek-v4-flash,deepinfra,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
deepseek-v4-flash,fireworks-ai,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
deepseek-v4-flash,novita,format-phone,phone-e164,20,19,0,1,0,0,0,0.95,"{""__parse_error__"": ""Expecting value: line 3 column 1 (char 2)"", ""__raw__"": ""\n\n<\uff5cDSML\uff5ctool_calls>\n<\uff5cDSML\uff5cinvoke name=\""format-phone\"">\n<"
gemma-4-31b,deepinfra,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
gemma-4-31b,novita,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
gemma-4-31b,together,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
glm-5.2,deepinfra,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
glm-5.2,fireworks-ai,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
glm-5.2,novita,format-phone,phone-e164,0,0,0,0,0,20,0,,
glm-5.2,scaleway,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
glm-5.2,together,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
qwen3.5-397b,deepinfra,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
qwen3.5-397b,novita,format-phone,phone-e164,20,0,0,0,20,0,0,0.0,
qwen3.5-397b,scaleway,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
qwen3.6-35b,deepinfra,format-phone,phone-e164,17,17,0,0,0,3,0,1.0,
qwen3.6-35b,scaleway,format-phone,phone-e164,20,20,0,0,0,0,0,1.0,
deepseek-v4-flash,deepinfra,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
deepseek-v4-flash,fireworks-ai,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
deepseek-v4-flash,novita,set-reference,ref-code,20,14,0,6,0,0,0,0.7,"{""__parse_error__"": ""Expecting value: line 3 column 1 (char 2)"", ""__raw__"": ""\n\n<\uff5cDSML\uff5ctool_calls>\n<\uff5cDSML\uff5cinvoke name=\""set-reference\"">\n"
gemma-4-31b,deepinfra,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
gemma-4-31b,novita,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
gemma-4-31b,together,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
glm-5.2,deepinfra,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
glm-5.2,fireworks-ai,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
glm-5.2,novita,set-reference,ref-code,0,0,0,0,0,20,0,,
glm-5.2,scaleway,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
glm-5.2,together,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
qwen3.5-397b,deepinfra,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
qwen3.5-397b,novita,set-reference,ref-code,20,0,0,0,20,0,0,0.0,
qwen3.5-397b,scaleway,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
qwen3.6-35b,deepinfra,set-reference,ref-code,17,17,0,0,0,3,0,1.0,
qwen3.6-35b,scaleway,set-reference,ref-code,20,20,0,0,0,0,0,1.0,
deepseek-v4-flash,deepinfra,register-address,us-zip5,20,6,0,14,0,0,14,0.3,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
deepseek-v4-flash,fireworks-ai,register-address,us-zip5,20,8,0,12,0,0,12,0.4,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
deepseek-v4-flash,novita,register-address,us-zip5,20,5,0,15,0,0,6,0.25,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
gemma-4-31b,deepinfra,register-address,us-zip5,20,12,0,8,0,0,8,0.6,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
gemma-4-31b,novita,register-address,us-zip5,20,11,0,9,0,0,9,0.55,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
gemma-4-31b,together,register-address,us-zip5,20,20,0,0,0,0,0,1.0,
glm-5.2,deepinfra,register-address,us-zip5,20,7,0,13,0,0,13,0.35,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
glm-5.2,fireworks-ai,register-address,us-zip5,20,20,0,0,0,0,0,1.0,
glm-5.2,novita,register-address,us-zip5,0,0,0,0,0,20,0,,
glm-5.2,scaleway,register-address,us-zip5,20,20,0,0,0,0,0,1.0,
glm-5.2,together,register-address,us-zip5,20,2,0,18,0,0,18,0.1,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
qwen3.5-397b,deepinfra,register-address,us-zip5,20,12,0,8,0,0,8,0.6,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
qwen3.5-397b,novita,register-address,us-zip5,20,0,0,0,20,0,0,0.0,
qwen3.5-397b,scaleway,register-address,us-zip5,20,19,0,1,0,0,1,0.95,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
qwen3.6-35b,deepinfra,register-address,us-zip5,13,9,0,4,0,7,4,0.692,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
qwen3.6-35b,scaleway,register-address,us-zip5,20,14,0,6,0,0,6,0.7,"{""country"": ""US"", ""postalCode"": ""98101-4205""}"
