model_label,provider,tool,adversarial_prompt,honored,dropped,invalid,rejected,error,example_args
deepseek-v4-flash,deepinfra,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",14,3,0,0,3,"{""untitledSingleSelectEnum"": ""Monica"", ""untitledMultipleSelectEnum"": [""Guitar""], ""titledSingleSelectEnum"": ""hero-1"", ""titledMultipleSelectEnum"": [""fish-1""], ""legacyTitledEnum"": ""pet-1""}"
deepseek-v4-flash,novita,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",20,0,0,0,0,"{""legacyTitledEnum"": ""pet-1"", ""titledMultipleSelectEnum"": [""fish-1""], ""titledSingleSelectEnum"": ""hero-1"", ""untitledMultipleSelectEnum"": [""Guitar""], ""untitledSingleSelectEnum"": ""Monica""}"
deepseek-v4-flash,fireworks-ai,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",15,0,5,0,0,"{""untitledSingleSelectEnum"": ""Monica"", ""untitledMultipleSelectEnum"": [""Guitar""], ""titledSingleSelectEnum"": ""hero-1"", ""titledMultipleSelectEnum"": [""fish-1""], ""legacyTitledEnum"": ""pet-1""}"
glm-5.2,deepinfra,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",7,2,11,0,0,"{""untitledSingleSelectEnum"": ""Gandalf"", ""untitledMultipleSelectEnum"": [""Guitar""], ""titledSingleSelectEnum"": ""hero-1"", ""titledMultipleSelectEnum"": [""fish-1""], ""legacyTitledEnum"": ""pet-1""}"
glm-5.2,novita,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",0,0,1,0,19,"{""legacyTitledEnum"": ""Dragon"", ""untitledMultipleSelectEnum"": [""Kazoo""], ""untitledSingleSelectEnum"": ""Gandalf""}"
glm-5.2,fireworks-ai,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",13,7,0,0,0,"{""untitledSingleSelectEnum"": ""Monica"", ""untitledMultipleSelectEnum"": [""Guitar""], ""legacyTitledEnum"": ""pet-1""}"
glm-5.2,zai-org,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",0,0,0,0,20,
inkling,together,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",17,1,0,0,2,"{""untitledSingleSelectEnum"": ""Phoebe""}"
kimi-k2.6,deepinfra,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",0,0,0,0,20,
kimi-k2.6,novita,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",0,0,0,0,20,
kimi-k2.6,fireworks-ai,get-enum-selections,"Pick the friend Gandalf, the instrument Kazoo, and the pet Dragon.",19,1,0,0,0,"{""untitledSingleSelectEnum"": ""Monica"", ""untitledMultipleSelectEnum"": [""Guitar""], ""legacyTitledEnum"": ""pet-1""}"
deepseek-v4-flash,deepinfra,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",0,0,20,0,0,"{""id"": ""REC-4417"", ""name"": ""Acme Corp""}"
deepseek-v4-flash,novita,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",1,0,19,0,0,"{""id"": ""REC-4417"", ""name"": ""Acme Corp""}"
deepseek-v4-flash,fireworks-ai,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",20,0,0,0,0,"{""id"": ""REC-4417""}"
glm-5.2,deepinfra,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",4,0,16,0,0,"{""id"": ""REC-4417""}"
glm-5.2,novita,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",20,0,0,0,0,"{""id"": ""REC-4417""}"
glm-5.2,fireworks-ai,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",20,0,0,0,0,"{""id"": ""REC-4417""}"
glm-5.2,zai-org,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",20,0,0,0,0,"{""id"": ""REC-4417""}"
inkling,together,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",0,0,20,0,0,"{""id"": ""REC-4417"", ""name"": ""Acme Corp""}"
kimi-k2.6,deepinfra,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",6,0,0,0,14,"{""id"": ""REC-4417""}"
kimi-k2.6,novita,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",3,0,0,0,17,"{""id"": ""REC-4417""}"
kimi-k2.6,fireworks-ai,lookup-record,"Look up the record — I have BOTH its id REC-4417 AND its name ""Acme Corp"". Include both id and name.",0,0,0,20,0,
deepseek-v4-flash,deepinfra,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",20,0,0,0,0,"{""coordinates"": [3, 7], ""label"": ""(3, 7, 9)""}"
deepseek-v4-flash,novita,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",20,0,0,0,0,"{""coordinates"": [3, 7], ""label"": ""(3, 7, 9)""}"
deepseek-v4-flash,fireworks-ai,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",20,0,0,0,0,"{""coordinates"": [3, 7], ""label"": ""(3, 7, 9) \u2014 z = 9""}"
glm-5.2,deepinfra,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",20,0,0,0,0,"{""coordinates"": [3, 7], ""label"": ""(x=3, y=7, z=9) | z=9""}"
glm-5.2,novita,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",0,0,0,0,20,
glm-5.2,fireworks-ai,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",20,0,0,0,0,"{""coordinates"": [3, 7], ""label"": ""3D point: (x=3, y=7, z=9)""}"
glm-5.2,zai-org,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",15,0,3,0,2,"{""coordinates"": [3, 7], ""label"": ""3D Point: (x=3, y=7, z=9)""}"
inkling,together,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",19,0,0,0,1,"{""coordinates"": [3, 7], ""label"": ""Point (x=3, y=7) \u2014 note: z=9 cannot be plotted with this 2D tool""}"
kimi-k2.6,deepinfra,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",4,0,0,0,16,"{""coordinates"": [3, 7], ""label"": ""(3, 7, 9)""}"
kimi-k2.6,novita,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",5,0,3,0,12,"{""coordinates"": [3, 7, 9], ""label"": ""3D Point (3, 7, 9)""}"
kimi-k2.6,fireworks-ai,plot-point,"Plot the 3D point at x = 3, y = 7, z = 9 — include all three coordinates.",20,0,0,0,0,"{""coordinates"": [3, 7]}"
